TimeID,DATE_WK
0,2018-01-07
1,2018-01-14
2,2018-01-21
3,2018-01-28
4,2018-02-04
5,2018-02-11
6,2018-02-18
7,2018-02-25
8,2018-03-04
9,2018-03-11
10,2018-03-18
11,2018-03-25
12,2018-04-01
13,2018-04-08
14,2018-04-15
15,2018-04-22
16,2018-04-29
17,2018-05-06
18,2018-05-13
19,2018-05-20
20,2018-05-27
21,2018-06-03
22,2018-06-10
23,2018-06-17
24,2018-06-24
25,2018-07-01
26,2018-07-08
27,2018-07-15
28,2018-07-22
29,2018-07-29
30,2018-08-05
31,2018-08-12
32,2018-08-19
33,2018-08-26
34,2018-09-02
35,2018-09-09
36,2018-09-16
37,2018-09-23
38,2018-09-30
39,2018-10-07
40,2018-10-14
41,2018-10-21
42,2018-10-28
43,2018-11-04
44,2018-11-11
45,2018-11-18
46,2018-11-25
47,2018-12-02
48,2018-12-09
49,2018-12-16
50,2018-12-23
51,2018-12-30
52,2019-01-06
53,2019-01-13
54,2019-01-20
55,2019-01-27
56,2019-02-03
57,2019-02-10
58,2019-02-17
59,2019-02-24
60,2019-03-03
61,2019-03-10
62,2019-03-17
63,2019-03-24
64,2019-03-31
65,2019-04-07
66,2019-04-14
67,2019-04-21
68,2019-04-28
69,2019-05-05
70,2019-05-12
71,2019-05-19
72,2019-05-26
73,2019-06-02
74,2019-06-09
75,2019-06-16
76,2019-06-23
77,2019-06-30
78,2019-07-07
79,2019-07-14
80,2019-07-21
81,2019-07-28
82,2019-08-04
83,2019-08-11
84,2019-08-18
85,2019-08-25
86,2019-09-01
87,2019-09-08
88,2019-09-15
89,2019-09-22
90,2019-09-29
91,2019-10-06
92,2019-10-13
93,2019-10-20
94,2019-10-27
95,2019-11-03
96,2019-11-10
97,2019-11-17
98,2019-11-24
99,2019-12-01
100,2019-12-08
101,2019-12-15
102,2019-12-22
103,2019-12-29
104,2020-01-05
105,2020-01-12
106,2020-01-19
107,2020-01-26
108,2020-02-02
109,2020-02-09
110,2020-02-16
111,2020-02-23
112,2020-03-01
113,2020-03-08
114,2020-03-15
115,2020-03-22
116,2020-03-29
117,2020-04-05
118,2020-04-12
119,2020-04-19
120,2020-04-26
121,2020-05-03
122,2020-05-10
123,2020-05-17
124,2020-05-24
125,2020-05-31
126,2020-06-07
127,2020-06-14
128,2020-06-21
129,2020-06-28
130,2020-07-05
131,2020-07-12
132,2020-07-19
133,2020-07-26
134,2020-08-02
135,2020-08-09
136,2020-08-16
137,2020-08-23
138,2020-08-30
139,2020-09-06
140,2020-09-13
141,2020-09-20
142,2020-09-27
143,2020-10-04
144,2020-10-11
145,2020-10-18
146,2020-10-25
147,2020-11-01
148,2020-11-08
149,2020-11-15
150,2020-11-22
151,2020-11-29
152,2020-12-06
153,2020-12-13
154,2020-12-20
155,2020-12-27
156,2021-01-03
157,2021-01-10
158,2021-01-17
159,2021-01-24
160,2021-01-31
161,2021-02-07
162,2021-02-14
163,2021-02-21
164,2021-02-28
165,2021-03-07
166,2021-03-14
167,2021-03-21
168,2021-03-28
169,2021-04-04
170,2021-04-11
171,2021-04-18
172,2021-04-25
173,2021-05-02
174,2021-05-09
175,2021-05-16
176,2021-05-23
177,2021-05-30
178,2021-06-06
179,2021-06-13
180,2021-06-20
181,2021-06-27
182,2021-07-04
183,2021-07-11
184,2021-07-18
185,2021-07-25
186,2021-08-01
187,2021-08-08
188,2021-08-15
189,2021-08-22
190,2021-08-29
191,2021-09-05
192,2021-09-12
193,2021-09-19
194,2021-09-26
195,2021-10-03
196,2021-10-10
197,2021-10-17
198,2021-10-24
199,2021-10-31
200,2021-11-07
201,2021-11-14
202,2021-11-21
203,2021-11-28
204,2021-12-05
205,2021-12-12
206,2021-12-19
207,2021-12-26
208,2022-01-02
209,2022-01-09
210,2022-01-16
211,2022-01-23
212,2022-01-30
213,2022-02-06
214,2022-02-13
215,2022-02-20
216,2022-02-27
217,2022-03-06
218,2022-03-13
219,2022-03-20
220,2022-03-27
221,2022-04-03
222,2022-04-10
223,2022-04-17
224,2022-04-24
225,2022-05-01
226,2022-05-08
227,2022-05-15
228,2022-05-22
229,2022-05-29
230,2022-06-05
231,2022-06-12
232,2022-06-19
233,2022-06-26
234,2022-07-03
235,2022-07-10
236,2022-07-17
237,2022-07-24
238,2022-07-31
239,2022-08-07
240,2022-08-14
241,2022-08-21
242,2022-08-28
243,2022-09-04
244,2022-09-11
245,2022-09-18
246,2022-09-25
247,2022-10-02
248,2022-10-09
249,2022-10-16
250,2022-10-23
251,2022-10-30
252,2022-11-06
253,2022-11-13
254,2022-11-20
255,2022-11-27
256,2022-12-04
257,2022-12-11
258,2022-12-18
259,2022-12-25
260,2023-01-01
